en,sigma_abs,zero,err_sigma_abs,peak_abs,err_peak_abs
10,0.175634,0,0.00129072,8.54548,0.000985959
99,0.654718,0,0.00658032,87.4824,0.0108617
74,0.535637,0,0,65.2915,0
52,0.42713,0,0,45.7633,0
34,0.333475,0,0,29.7841,0
20,0.259892,0,1,17.3616,1.00001
65,0.510238,0,0,57.2717,0

#i fit non danno l'errore perché vanno in status 3, mettiamo errore propagato dal numero entries
