board_ch,mpv,ix,iy,layer,chi2_ndf,nevent,mc_ch,mc_edep
52,1.52,0,-2,1,1.59,7425,-999,-999
96,1.29,0,-2,2,1.36,7957,-999,-999
140,1.39,0,-2,3,0.99,6988,-999,-999
184,1.65,0,-2,4,1.22,7115,-999,-999
36,1.48,0,-1,0,0.98,5031,-999,-999
80,1.02,0,-1,1,0.88,7100,-999,-999
124,1.06,0,-1,2,1.16,6729,-999,-999
168,1.38,0,-1,3,1.15,7303,1.50566101074219,1.34292614459991
212,1.18,0,-1,4,0.81,7343,1.32668972015381,1.17569625377655
220,1.3,0,0,0,2.12,13758,1.10679233074188,1.32089614868164
221,1.15,0,0,1,1.42,9095,0.833434402942658,0.952825248241425
222,1.33,0,0,2,1.59,8946,0.898610174655914,1.00306499004364
223,1.71,0,0,3,1.68,13726,1.16722595691681,1.2456488609314
224,1.76,0,0,4,2.42,14129,1.30525016784668,1.33196556568146
7,1.09,0,1,0,0.77,4889,-999,-999
51,1.35,0,1,1,1.09,8561,-999,-999
95,1.65,0,1,2,1.26,8768,-999,-999
139,1.44,0,1,3,1.19,8481,-999,-999
183,1.52,0,1,4,1.32,8563,1.41123151779175,1.25004470348358
35,1.62,0,2,0,2.01,11471,-999,-999
79,1.15,0,2,1,1.16,18605,-999,-999
123,1.58,0,2,2,1.29,18583,-999,-999
167,1.56,0,2,3,1.12,19509,-999,-999
211,1.75,0,2,4,1.48,19516,-999,-999
6,1.4,0,3,0,1.2,3358,-999,-999
50,1.43,0,3,1,1.04,6128,-999,-999
94,1.18,0,3,2,0.9,6299,-999,-999
138,1.47,0,3,3,0.94,5868,-999,-999
182,1.62,0,3,4,1.14,6018,-999,-999
39,1.54,1,-3,0,1.14,3160,-999,-999
83,1.4,1,-3,1,0.88,4684,-999,-999
127,0.97,1,-3,2,0.92,4937,-999,-999
171,1.45,1,-3,3,0.95,5085,-999,-999
215,1.67,1,-3,4,1.55,4910,-999,-999
24,1.42,1,-2,0,0.88,3351,-999,-999
68,1.44,1,-2,1,1.49,5997,-999,-999
112,1.32,1,-2,2,1,5212,-999,-999
156,1.32,1,-2,3,0.96,5593,-999,-999
200,1.05,1,-2,4,1.22,5851,-999,-999
10,1.36,1,-1,0,0.97,4037,-999,-999
54,1.49,1,-1,1,1.49,7261,1.9598217010498,1.51460027694702
98,1.49,1,-1,2,1.19,7301,1.78447115421295,1.46205961704254
142,1.49,1,-1,3,0.98,6746,1.78827595710754,1.51218378543854
186,1.47,1,-1,4,1.17,6561,-999,-999
38,1.68,1,0,0,1.47,4558,-999,-999
82,1.4,1,0,1,1.04,7112,-999,-999
126,1.46,1,0,2,1.35,7180,1.71367311477661,1.58395051956177
170,1.51,1,0,3,1.03,7222,1.6049792766571,1.43653035163879
214,1.64,1,0,4,1.43,7164,1.63893795013428,1.45144152641296
23,1.47,1,1,0,1.29,4084,-999,-999
67,1.11,1,1,1,1.06,7042,1.80416643619537,1.24310553073883
111,1.33,1,1,2,1.01,6372,-999,-999
155,1.57,1,1,3,0.95,6846,1.83118069171906,1.57461678981781
199,1.61,1,1,4,1.35,7274,-999,-999
9,1.49,1,2,0,0.87,3541,-999,-999
53,1.13,1,2,1,0.85,6269,-999,-999
97,1.64,1,2,2,1.05,6172,-999,-999
141,0.97,1,2,3,1.22,6122,-999,-999
185,1.13,1,2,4,1.26,6029,-999,-999
37,2.2,1,3,0,1.57,2980,-999,-999
81,0.97,1,3,1,1,4146,-999,-999
125,1.08,1,3,2,1,4172,-999,-999
169,1.16,1,3,3,0.92,4875,-999,-999
213,1.75,1,3,4,1.25,4545,-999,-999
27,1.46,2,-3,0,0.8,1760,-999,-999
71,1.37,2,-3,1,0.96,3019,-999,-999
115,1.03,2,-3,2,0.9,2689,-999,-999
159,1.48,2,-3,3,1.1,2956,-999,-999
203,1.35,2,-3,4,0.99,3260,-999,-999
12,1.04,2,-2,0,0.92,2134,-999,-999
56,1.52,2,-2,1,1.57,3801,-999,-999
100,1.55,2,-2,2,1.18,4061,-999,-999
144,1.43,2,-2,3,1.13,3731,-999,-999
188,1.56,2,-2,4,1.24,3948,-999,-999
41,1.19,2,-1,0,0.66,2401,-999,-999
85,1.38,2,-1,1,1.05,3876,-999,-999
129,1.39,2,-1,2,0.95,3943,-999,-999
173,1.53,2,-1,3,0.83,3722,-999,-999
217,1.66,2,-1,4,1.16,3650,-999,-999
26,1.53,2,0,0,0.79,2324,-999,-999
70,1.56,2,0,1,1.32,4130,-999,-999
114,1.5,2,0,2,0.79,3716,-999,-999
158,1.21,2,0,3,0.96,3860,-999,-999
202,1.51,2,0,4,0.96,4018,-999,-999
11,1.43,2,1,0,0.93,2456,-999,-999
55,1.53,2,1,1,1.21,4227,-999,-999
99,1.55,2,1,2,0.96,4245,-999,-999
143,1.52,2,1,3,0.95,4058,-999,-999
