en,sigma_abs,zero,err_sigma_abs,peak_abs,err_peak_abs
99,26.46,0,0.1,2232,10
34,13.9,0,0.1,749,10
74,20.88,0,0.1,1660,10
52,17.86,0,0.1,1159,10
20,11.6,0,0.1,434,10
120,32.6,0,0.1,2651,10
