en,sigma_abs,zero,err_sigma_abs,peak_abs,err_peak_abs
99,0.979387,0,0.01,88.7168,0.89
34,0.467427,0,0.01,30.033,0.30
74,0.73738,0,0.01,66.1186,0.66
52,0.654674,0,0.01,46.2733,0.46
20,0.438676,0,0.01,17.4783,0.17
65,0.698946,0,0.01,58.9641,0.58
120,1.27863,0,0.01,105.051,1.05
10,0.353927,0,0.01,8.40601,0.084
