adc_noise
1.680493
1.756168
1.860002
1.809095
1.631251
1.642483
1.655292
1.622361
2.213016
2.067625
2.015096
2.011129
2.158180
1.987388
2.095908
1.941085
1.955648
1.796781
2.097268
1.960459
2.016765
2.177540
1.786058
1.712800
1.687140
1.719803
1.604602
1.677689
1.491254
2.233116
2.279519
2.068244
2.298716
2.129202
2.225823
2.119553
2.093067
2.383578
1.993489
2.046592
1.946612
2.065582
2.288806
2.003318
1.603945
1.555049
1.523958
1.579594
1.526127
1.562658
1.415663
1.429042
2.250800
2.287704
2.209292
2.259560
2.221807
2.206423
2.251144
1.672410
1.675793
1.695461
1.717586
1.589348
1.513228
1.667399
1.558216
1.597330
1.705536
1.663400
1.772184
1.575250
1.567828
1.498626
1.566269
1.520862
1.572311
1.466704
1.389551
1.473516
1.410464
1.805860
1.904478
1.825972
1.742582
1.865031
1.827520
1.729921
1.780165
1.750790
1.712309
1.679476
1.688076
1.700948
1.603948
1.582301
1.638620
1.708325
1.689896
1.687359
1.500071
1.531276
1.470704
1.570416
1.767554
1.689912
1.735903
1.574416
1.576932
1.557018
1.583139
1.548124
1.371545
1.538465
1.497709
1.406403
1.377104
1.624358
1.709865
1.592196
1.693712
1.858161
1.572470
1.628812
1.564942
1.666043
1.823255
1.636669
1.706956
1.641641
1.564059
1.650155
1.974105
2.021495
1.994508
1.832555
1.851667
1.911148
1.961910
1.700736
2.074810
1.944279
1.830273
1.909395
1.909475
1.931415
1.775715
1.789479
1.892438
1.895534
1.797437
1.818546
1.824703
1.976023
2.014896
1.865311
2.009890
1.886028
1.933842
1.765621
1.766084
1.810291
1.731593
1.672304
1.726925
1.872200
1.695981
1.709342
1.646666
1.905297
1.571953
1.610544
1.524452
1.623462
1.488616
1.553587
1.791304
1.940522
1.905851
1.860207
1.776421
1.812474
1.839380
1.662081
2.032558
1.696361
1.808376
1.655935
1.814818
1.632673
1.628323
1.844981
1.909974
1.820473
1.727825
1.797282
1.788393
1.690175
2.585171
1.744757
1.655714
1.670362
1.573386
1.641653
1.466368
1.209832
1.371735
1.315724
1.282476
1.306429
1.119568
1.246230
1.062385
1.466515
1.238918
1.212723
1.198640
1.172134
1.225661
1.083312
1.153805
1.247693
1.240424
1.266076
1.258853
